realProfileID,venue,year,title,authors
2,VLDB,2002,Incremental Maintenance for Non-Distributive Aggregate Functions,"T. Palpanas, R. Sidle, H. Pirahesh, R. Cochrane"
6,SIGMOD,2002,Mining the World Wide Web: An Information Search Approach - Book Review,A. M. Ouksel
19,SIGMOD,2002,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),J. Hammer
41,SIGMOD,2002,Clustering by pattern similarity in large data sets,"H. Wang, W. Wang, P. S. Yu, J. Yang"
54,SIGMOD,2002,Research in Information Managment at Dublin City University,"A. F. Smeaton, M. Roantree"
57,SIGMOD,2002,Efficient execution of joins in a star schema,A. Weininger
68,SIGMOD,2002,Editor's Notes,L. Liu
69,SIGMOD,2002,Rainbow: mapping-driven XQuery processing system,"M. Mulchandani, E. A. Rundensteiner, X. Zhang, B. Murphy, S. Christ"
80,SIGMOD,2002,Why I Like Working in Academia,R. T. Snodgrass
82,VLDB,2002,Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,"M. V. Soundalgekar, S. Chakrabarti, S. Roy"
107,VLDB,2002,Viator - A Tool Family for Graphical Networking and Data View Creation,"K. Tham, A. Kilian, D. Merkel, P. Rieger, S. Heymann, G. Wegner, J. C. Freytag"
124,SIGMOD,2002,Covering indexes for branching path queries,"R. Kaushik, H. F. Korth, J. F. Naughton, P. Bohannon"
135,SIGMOD,2002,Time-parameterized queries in spatio-temporal databases,"D. Papadias, Y. Tao"
139,SIGMOD,2002,Dwarf: shrinking the PetaCube,"Y. Kotidis, Y. Sismanis, A. Deligiannakis, N. Roussopoulos"
145,SIGMOD,2002,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,J. Geller
149,VLDB,2002,Eliminating Fuzzy Duplicates in Data Warehouses,"R. Ananthakrishna, V. Ganti, S. Chaudhuri"
151,SIGMOD,2002,An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,"Y. Kabak, G. Laleci, S. Pektas, S. Toprak, Y. Tambag, G. Kurt, A. Dogac, P. Pembecioglu"
155,ACM Trans,2002,Atomicity and isolation for transactional processes,"H. Schek, G. Alonso, H. Schuldt, C. Beeri"
165,VLDB,2002,Tree pattern query minimization,"D. Srivastava, S. Cho, L. V. S. Lakshmanan, S. Amer-yahia"
173,VLDB,2002,Information Management Challenges from the Aerospace Industry,S. M. Sripada
176,SIGMOD,2002,Phoenix Project: Fault-Tolerant Applications,"R. S. Barga, D. B. Lomet"
180,VLDB,2002,A-TOPSS - A Publish/Subscribe System Supporting Approximate Matching,"H. Jacobsen, H. Liu"
